batch=431101 checked=14242262548480 peak_steps=595 suspects=0 gpu=67% temp=70C elapsed=35.1
batch=431151 checked=14243101409280 peak_steps=595 suspects=0 gpu=72% temp=70C elapsed=35.5
batch=431201 checked=14243940270080 peak_steps=595 suspects=0 gpu=72% temp=70C elapsed=35.8
batch=431251 checked=14244779130880 peak_steps=595 suspects=0 gpu=70% temp=70C elapsed=36.1
batch=431301 checked=14245617991680 peak_steps=595 suspects=0 gpu=71% temp=70C elapsed=36.4
batch=431351 checked=14246456852480 peak_steps=595 suspects=0 gpu=72% temp=70C elapsed=36.7
batch=431401 checked=14247295713280 peak_steps=595 suspects=0 gpu=69% temp=70C elapsed=37.0
batch=431451 checked=14248134574080 peak_steps=595 suspects=0 gpu=72% temp=70C elapsed=37.3
batch=431501 checked=14248973434880 peak_steps=595 suspects=0 gpu=71% temp=70C elapsed=37.6
batch=431551 checked=14249812295680 peak_steps=595 suspects=0 gpu=70% temp=70C elapsed=37.9
batch=431601 checked=14250651156480 peak_steps=595 suspects=0 gpu=67% temp=70C elapsed=38.2
batch=431651 checked=14251490017280 peak_steps=595 suspects=0 gpu=68% temp=70C elapsed=38.5
batch=431701 checked=14252328878080 peak_steps=595 suspects=0 gpu=73% temp=70C elapsed=38.8
batch=431751 checked=14253167738880 peak_steps=595 suspects=0 gpu=68% temp=70C elapsed=39.1
batch=431801 checked=14254006599680 peak_steps=595 suspects=0 gpu=70% temp=70C elapsed=39.4
batch=431851 checked=14254845460480 peak_steps=595 suspects=0 gpu=72% temp=71C elapsed=39.8
batch=431901 checked=14255684321280 peak_steps=595 suspects=0 gpu=73% temp=71C elapsed=40.1
